block,row_type,scheduler_or_effect,pressure_condition,outcome,value,ci_low,ci_high,positive_probability,n_pairs,notes
pilot_seed1_3,scheduler_load,quota_balance,normal,tasks_created_mean,40,,,,3,pressure 1.0
pilot_seed1_3,scheduler_load,quota_balance,normal,completion_fraction_mean,0.48572,,,,3,queue_depth_mean 21.333333
pilot_seed1_3,scheduler_load,quota_balance,medium,tasks_created_mean,60,,,,3,pressure 1.8
pilot_seed1_3,scheduler_load,quota_balance,medium,completion_fraction_mean,0.266378,,,,3,queue_depth_mean 44.666667
pilot_seed1_3,scheduler_load,quota_balance,high,tasks_created_mean,73.666667,,,,3,pressure 2.2
pilot_seed1_3,scheduler_load,quota_balance,high,completion_fraction_mean,0.151448,,,,3,queue_depth_mean 62.666667
pilot_seed1_3,scheduler_load,random_available,normal,tasks_created_mean,40,,,,3,pressure 1.0
pilot_seed1_3,scheduler_load,random_available,normal,completion_fraction_mean,0.405556,,,,3,queue_depth_mean 24
pilot_seed1_3,scheduler_load,random_available,medium,tasks_created_mean,67.666667,,,,3,pressure 1.8
pilot_seed1_3,scheduler_load,random_available,medium,completion_fraction_mean,0.227911,,,,3,queue_depth_mean 52.333333
pilot_seed1_3,scheduler_load,random_available,high,tasks_created_mean,74.666667,,,,3,pressure 2.2
pilot_seed1_3,scheduler_load,random_available,high,completion_fraction_mean,0.125074,,,,3,queue_depth_mean 65.333333
holdout_seed70_99,scheduler_load,quota_balance,normal,tasks_created_mean,41.433333,,,,30,pressure 1.0
holdout_seed70_99,scheduler_load,quota_balance,normal,completion_fraction_mean,0.49223,,,,30,queue_depth_mean 21.5
holdout_seed70_99,scheduler_load,quota_balance,medium,tasks_created_mean,63.6,,,,30,pressure 1.8
holdout_seed70_99,scheduler_load,quota_balance,medium,completion_fraction_mean,0.247199,,,,30,queue_depth_mean 48.2
holdout_seed70_99,scheduler_load,quota_balance,high,tasks_created_mean,71.233333,,,,30,pressure 2.2
holdout_seed70_99,scheduler_load,quota_balance,high,completion_fraction_mean,0.193718,,,,30,queue_depth_mean 57.733333
holdout_seed70_99,scheduler_load,random_available,normal,tasks_created_mean,41.466667,,,,30,pressure 1.0
holdout_seed70_99,scheduler_load,random_available,normal,completion_fraction_mean,0.493121,,,,30,queue_depth_mean 21.6
holdout_seed70_99,scheduler_load,random_available,medium,tasks_created_mean,61.6,,,,30,pressure 1.8
holdout_seed70_99,scheduler_load,random_available,medium,completion_fraction_mean,0.26724,,,,30,queue_depth_mean 45.5
holdout_seed70_99,scheduler_load,random_available,high,tasks_created_mean,70.366667,,,,30,pressure 2.2
holdout_seed70_99,scheduler_load,random_available,high,completion_fraction_mean,0.208362,,,,30,queue_depth_mean 56.166667
pilot_seed1_3,paired_effect,random_available_minus_quota_balance,normal,queue_depth,2.666667,-2,5,0.955,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance,medium,queue_depth,7.666667,-1,15,0.955,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance,high,queue_depth,2.666667,0,8,0.715,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,queue_depth,0,-5,3,0.415,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_normal_to_medium_slope,all,queue_depth,6.25,1.25,12.5,1,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_medium_to_high_slope,all,queue_depth,-12.5,-22.5,2.5,0.045,3,
pilot_seed1_3,load_normalized,quota_balance_normal_to_high_queue_delta_per_added_created_task,all,load_normalized_queue_depth,1.238636,1.090909,1.375,1,3,
pilot_seed1_3,load_normalized,random_available_normal_to_high_queue_delta_per_added_created_task,all,load_normalized_queue_depth,1.206392,1.111111,1.258065,1,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,value_per_completed_task_total,-0.283356,-0.599906,0.318886,0.23,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,value_per_work_event_total,-0.034923,-0.452195,0.269327,0.375,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,attention_capture_pressure_max_final,0.179318,0.042571,0.277988,1,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,phase_space_turning_point_count,1,-2,5,0.72,3,
pilot_seed1_3,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,phase_space_longest_dwell_steps,-0.333333,-3,3,0.345,3,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance,normal,queue_depth,0.1,-2.233333,2.066667,0.555,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance,medium,queue_depth,-2.7,-4.833333,-0.766667,0.005,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance,high,queue_depth,-1.566667,-4.3,0.833333,0.15,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,queue_depth,-1.666667,-5.1,1.633333,0.185,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_normal_to_medium_slope,all,queue_depth,-3.5,-7.416667,0.416667,0.04,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_medium_to_high_slope,all,queue_depth,2.833333,-3.333333,8.25,0.795,30,
holdout_seed70_99,load_normalized,quota_balance_normal_to_high_queue_delta_per_added_created_task,all,load_normalized_queue_depth,1.209774,1.154681,1.249447,1,30,
holdout_seed70_99,load_normalized,random_available_normal_to_high_queue_delta_per_added_created_task,all,load_normalized_queue_depth,1.200961,1.145654,1.25936,1,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,value_per_completed_task_total,0.106882,-0.057457,0.286432,0.915,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,value_per_work_event_total,0.083488,-0.053673,0.208697,0.895,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,attention_capture_pressure_max_final,0.069197,0.021344,0.109437,1,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,phase_space_turning_point_count,-0.633333,-1.9,0.566667,0.135,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,phase_space_longest_dwell_steps,1.2,0.166667,2.466667,0.985,30,
